yanghang_test,1014,2013-01-01,0,92
yanghang_test,1015,2013-07-01,1,44
yanghang_test,3002,2013-07-01,5,0.0
yanghang_test,1015,2013-07-01,5,69
yanghang_test,1006,2013-01-01,0,0
yanghang_test,1022,2013-01-01,0,2181049.35
yanghang_test,1022,2013-07-01,5,1057216.63
yanghang_test,1022,2013-08-01,2,208052.65
yanghang_test,3002,2013-01-01,0,0.0
yanghang_test,1015,2013-08-01,2,13
yanghang_test,1006,2013-08-01,2,0
yanghang_test,1006,2013-07-01,5,0
yanghang_test,1006,2013-07-01,1,0
yanghang_test,1014,2013-08-01,2,4
yanghang_test,3002,2013-07-01,1,0.0
yanghang_test,1014,2013-07-01,5,25
yanghang_test,3002,2013-08-01,2,0.0
yanghang_test,1014,2013-07-01,1,14
yanghang_test,1015,2013-01-01,0,157
yanghang_test,1022,2013-07-01,1,730657.86
yanghang_test,3032,2013-07-01,5,336835.28
yanghang_test,3032,2013-08-01,2,58995.8
yanghang_test,3032,2013-01-01,0,746843.45
yanghang_test,3032,2013-07-01,1,238452.21
